Sale_ID,Customer_ID,Product_ID,Date,Quantity,Price,Discount,Name,Age,Gender,Region,Product_Name,Category,Supplier_ID,Cost_Price,Supplier_Name,Contact_Person,Contact_Email,City,State
1001,C001,P001,2024-01-01,2,20.0,0.05,Jack Allen,28,F,West Coast,Widget A,Electronics,S001,15.0,Gadget World,Emily Rose,emily@gadgetworld.com,New York,NY
1002,C002,P002,2024-01-01,1,35.0,0.1,Xander Jones,66,F,Midwest,Gadget B,Home Appliances,S002,25.0,Tech Gear Co.,John Taylor,john@techgear.com,Los Angeles,CA
1003,C001,P003,2024-01-01,3,15.0,0.0,Jack Allen,28,F,West Coast,Tool C,Hardware,S003,10.0,Circuit Solutions,Mark Johnson,mark@circuitsolutions.com,San Francisco,CA
1004,C056,P005,2024-01-01,4,35.0,0.05,Carol Lee,20,F,Midwest,Device E,Electronics,S005,30.0,Office Tech Depot,Kevin Lee,kevin@officetechdepot.com,Chicago,IL
1005,C035,P050,2024-01-01,1,20.0,0.05928546752948102,Jack Hill,41,M,East Coast,Accessory AX,Accessories,S010,8.75,Sports Tech Gear,Michael Harris,michael@sportstechgear.com,Denver,CO
1006,C048,P041,2024-01-01,6,33.5,0.03993929771839388,Yara Walker,21,M,North,Widget AO,Electronics,S001,16.75,Gadget World,Emily Rose,emily@gadgetworld.com,New York,NY
1007,C004,P021,2024-01-01,8,34.0,0.09819217136114543,Paul Green,45,M,North,Widget U,Electronics,S001,17.0,Gadget World,Emily Rose,emily@gadgetworld.com,New York,NY
1008,C147,P051,2024-01-01,7,31.5,0.08726022757733425,Karen Hall,66,F,West Coast,Widget AY,Electronics,S001,15.75,Gadget World,Emily Rose,emily@gadgetworld.com,New York,NY
1009,C080,P039,2024-01-01,8,35.0,0.09010714971202768,Bob Allen,58,M,East Coast,Tool AM,Hardware,S009,17.5,Gourmet Gadgets,Alice Brown,alice@gourmetgadgets.com,Seattle,WA
1010,C062,P032,2024-01-01,9,48.0,0.019095897318409952,Henry Parker,68,M,West Coast,Gadget AF,Home Appliances,S002,24.0,Tech Gear Co.,John Taylor,john@techgear.com,Los Angeles,CA
1011,C126,P014,2024-01-01,9,12.0,0.040831357880461674,Isla Walker,20,M,North,Accessory N,Accessories,S004,6.0,Smart Home Essentials,Sarah Davis,sarah@smarthomeessentials.com,Dallas,TX
1012,C095,P001,2024-01-01,7,30.0,0.02126943554530314,Tina Taylor,52,F,South,Widget A,Electronics,S001,15.0,Gadget World,Emily Rose,emily@gadgetworld.com,New York,NY
1013,C023,P009,2024-01-01,2,36.0,0.019283237085688344,Uma Hall,65,M,North,Tool I,Hardware,S009,18.0,Gourmet Gadgets,Alice Brown,alice@gourmetgadgets.com,Seattle,WA
1014,C101,P022,2024-01-01,4,54.0,0.03533801311428042,Karen Hill,69,F,East Coast,Gadget V,Home Appliances,S002,27.0,Tech Gear Co.,John Taylor,john@techgear.com,Los Angeles,CA
1015,C013,P038,2024-01-01,9,39.0,0.06941552651411717,Victor Baker,70,F,Midwest,Widget AL,Electronics,S008,19.5,Auto Electronics Pro,Daniel Evans,daniel@autoelectronics.com,Detroit,MI
1016,C015,P021,2024-01-01,6,34.0,0.08160833551269499,Henry Parker,70,F,South,Widget U,Electronics,S001,17.0,Gadget World,Emily Rose,emily@gadgetworld.com,New York,NY
1017,C087,P044,2024-01-01,10,10.5,0.07673391134165675,Nina Young,52,F,East Coast,Accessory AR,Accessories,S004,5.25,Smart Home Essentials,Sarah Davis,sarah@smarthomeessentials.com,Dallas,TX
1018,C039,P044,2024-01-01,10,10.5,0.02677781822260227,Quinn Hall,43,M,East Coast,Accessory AR,Accessories,S004,5.25,Smart Home Essentials,Sarah Davis,sarah@smarthomeessentials.com,Dallas,TX
1019,C108,P009,2024-01-01,5,36.0,0.01989562207283645,Emily Taylor,21,M,South,Tool I,Hardware,S009,18.0,Gourmet Gadgets,Alice Brown,alice@gourmetgadgets.com,Seattle,WA
1020,C017,P038,2024-01-01,5,39.0,0.0169169936310244,Mia Brown,55,M,West Coast,Widget AL,Electronics,S008,19.5,Auto Electronics Pro,Daniel Evans,daniel@autoelectronics.com,Detroit,MI
1021,C010,P001,2024-01-02,4,30.0,0.040034477598376285,Grace White,37,F,East Coast,Widget A,Electronics,S001,15.0,Gadget World,Emily Rose,emily@gadgetworld.com,New York,NY
1022,C104,P044,2024-01-02,3,10.5,0.08543812041733838,Bob Young,48,F,West Coast,Accessory AR,Accessories,S004,5.25,Smart Home Essentials,Sarah Davis,sarah@smarthomeessentials.com,Dallas,TX
1023,C109,P036,2024-01-02,10,26.5,0.01454721380810936,Oscar Clark,62,F,South,Item AJ,Office Supplies,S006,13.25,Eco Electronics,Linda Parker,linda@ecoelectronics.com,Portland,OR
1024,C016,P035,2024-01-02,6,63.0,0.05591131860741262,Uma Jones,66,F,East Coast,Device AI,Electronics,S005,31.5,Office Tech Depot,Kevin Lee,kevin@officetechdepot.com,Chicago,IL
1025,C097,P032,2024-01-02,3,48.0,0.05172780126270132,Henry Parker,18,F,North,Gadget AF,Home Appliances,S002,24.0,Tech Gear Co.,John Taylor,john@techgear.com,Los Angeles,CA
1026,C105,P053,2024-01-02,4,22.5,0.07071575697063572,Tina Young,52,F,West Coast,Tool BA,Hardware,S003,11.25,Circuit Solutions,Mark Johnson,mark@circuitsolutions.com,San Francisco,CA
1027,C125,P042,2024-01-02,1,53.0,0.05750490069302694,Jack Clark,59,M,Midwest,Gadget AP,Home Appliances,S002,26.5,Tech Gear Co.,John Taylor,john@techgear.com,Los Angeles,CA
1028,C072,P024,2024-01-02,7,11.0,0.022082542061933774,Carol Brown,37,M,West Coast,Accessory X,Accessories,S004,5.5,Smart Home Essentials,Sarah Davis,sarah@smarthomeessentials.com,Dallas,TX
1029,C002,P022,2024-01-02,1,54.0,0.06426890557336826,Xander Jones,66,F,Midwest,Gadget V,Home Appliances,S002,27.0,Tech Gear Co.,John Taylor,john@techgear.com,Los Angeles,CA
1030,C144,P048,2024-01-02,4,44.5,0.07776277731800188,Karen Allen,56,F,West Coast,Widget AV,Electronics,S008,22.25,Auto Electronics Pro,Daniel Evans,daniel@autoelectronics.com,Detroit,MI
1031,C104,P045,2024-01-02,4,59.5,0.09949504703858912,Bob Young,48,F,West Coast,Device AS,Electronics,S005,29.75,Office Tech Depot,Kevin Lee,kevin@officetechdepot.com,Chicago,IL
1032,C118,P019,2024-01-02,5,38.0,0.009904742492718178,Jack Adams,53,M,Midwest,Tool S,Hardware,S009,19.0,Gourmet Gadgets,Alice Brown,alice@gourmetgadgets.com,Seattle,WA
1033,C133,P017,2024-01-02,6,80.0,0.07121242678222232,Bob Smith,19,M,Midwest,Appliance Q,Home Appliances,S007,40.0,HealthTech Supplies,Peter Clark,peter@healthtech.com,Miami,FL
1034,C061,P024,2024-01-02,1,11.0,0.023259281801140355,Paul Young,62,M,Midwest,Accessory X,Accessories,S004,5.5,Smart Home Essentials,Sarah Davis,sarah@smarthomeessentials.com,Dallas,TX
1035,C077,P005,2024-01-02,4,60.0,0.06520784194669423,Frank Young,38,F,South,Device E,Electronics,S005,30.0,Office Tech Depot,Kevin Lee,kevin@officetechdepot.com,Chicago,IL
1036,C143,P012,2024-01-02,4,44.0,0.020518303209085566,Yara Hall,19,F,Midwest,Gadget L,Home Appliances,S002,22.0,Tech Gear Co.,John Taylor,john@techgear.com,Los Angeles,CA
1037,C110,P032,2024-01-02,3,48.0,0.061097893734666876,Zoe Young,55,M,West Coast,Gadget AF,Home Appliances,S002,24.0,Tech Gear Co.,John Taylor,john@techgear.com,Los Angeles,CA
1038,C034,P041,2024-01-02,10,33.5,0.037518675486436476,Alice King,23,F,East Coast,Widget AO,Electronics,S001,16.75,Gadget World,Emily Rose,emily@gadgetworld.com,New York,NY
1039,C017,P019,2024-01-02,7,38.0,0.05590890103972428,Mia Brown,55,M,West Coast,Tool S,Hardware,S009,19.0,Gourmet Gadgets,Alice Brown,alice@gourmetgadgets.com,Seattle,WA
1040,C123,P006,2024-01-02,2,25.0,0.09562712264541405,Rachel Young,22,F,West Coast,Item F,Office Supplies,S006,12.5,Eco Electronics,Linda Parker,linda@ecoelectronics.com,Portland,OR
1041,C067,P001,2024-01-02,3,30.0,0.08737289789536558,Rachel Hill,61,M,East Coast,Widget A,Electronics,S001,15.0,Gadget World,Emily Rose,emily@gadgetworld.com,New York,NY
1042,C047,P001,2024-01-02,9,30.0,0.04821961188661588,Leo Young,53,M,South,Widget A,Electronics,S001,15.0,Gadget World,Emily Rose,emily@gadgetworld.com,New York,NY
1043,C008,P036,2024-01-02,10,26.5,0.005467085497521451,Mia Allen,61,M,East Coast,Item AJ,Office Supplies,S006,13.25,Eco Electronics,Linda Parker,linda@ecoelectronics.com,Portland,OR
1044,C017,P014,2024-01-03,7,12.0,0.009596833601529554,Mia Brown,55,M,West Coast,Accessory N,Accessories,S004,6.0,Smart Home Essentials,Sarah Davis,sarah@smarthomeessentials.com,Dallas,TX
1045,C137,P005,2024-01-03,5,60.0,0.0028363242171596027,Uma Young,19,M,East Coast,Device E,Electronics,S005,30.0,Office Tech Depot,Kevin Lee,kevin@officetechdepot.com,Chicago,IL
1046,C055,P045,2024-01-03,4,59.5,0.0561376228294376,Yara Walker,58,F,Midwest,Device AS,Electronics,S005,29.75,Office Tech Depot,Kevin Lee,kevin@officetechdepot.com,Chicago,IL
1047,C097,P001,2024-01-03,6,30.0,0.06141409307718826,Henry Parker,18,F,North,Widget A,Electronics,S001,15.0,Gadget World,Emily Rose,emily@gadgetworld.com,New York,NY
1048,C081,P025,2024-01-03,10,65.0,0.0989669300886804,Jack Young,59,M,South,Device Y,Electronics,S005,32.5,Office Tech Depot,Kevin Lee,kevin@officetechdepot.com,Chicago,IL
1049,C006,P050,2024-01-03,10,17.5,0.07232275040504996,Grace Hall,56,F,East Coast,Accessory AX,Accessories,S010,8.75,Sports Tech Gear,Michael Harris,michael@sportstechgear.com,Denver,CO
1050,C071,P034,2024-01-03,9,9.5,0.021532961444078902,Paul Lee,19,F,West Coast,Accessory AH,Accessories,S004,4.75,Smart Home Essentials,Sarah Davis,sarah@smarthomeessentials.com,Dallas,TX
1051,C041,P016,2024-01-03,6,26.0,0.007501016489686763,Carol Jones,40,F,West Coast,Item P,Office Supplies,S006,13.0,Eco Electronics,Linda Parker,linda@ecoelectronics.com,Portland,OR
1052,C103,P037,2024-01-03,10,88.0,0.0030809029119354125,Tina Allen,23,F,West Coast,Appliance AK,Home Appliances,S007,44.0,HealthTech Supplies,Peter Clark,peter@healthtech.com,Miami,FL
1053,C127,P026,2024-01-03,3,22.0,0.07211713213463959,Nina White,67,F,Midwest,Item Z,Office Supplies,S006,11.0,Eco Electronics,Linda Parker,linda@ecoelectronics.com,Portland,OR
1054,C087,P038,2024-01-03,10,39.0,0.02402733021696033,Nina Young,52,F,East Coast,Widget AL,Electronics,S008,19.5,Auto Electronics Pro,Daniel Evans,daniel@autoelectronics.com,Detroit,MI
1055,C016,P003,2024-01-03,9,20.0,0.037597854326692985,Uma Jones,66,F,East Coast,Tool C,Hardware,S003,10.0,Circuit Solutions,Mark Johnson,mark@circuitsolutions.com,San Francisco,CA
1056,C031,P009,2024-01-03,6,36.0,0.053882061885030655,Dan White,29,F,Midwest,Tool I,Hardware,S009,18.0,Gourmet Gadgets,Alice Brown,alice@gourmetgadgets.com,Seattle,WA
1057,C124,P026,2024-01-04,5,22.0,0.019326754270874526,Rachel Allen,24,F,North,Item Z,Office Supplies,S006,11.0,Eco Electronics,Linda Parker,linda@ecoelectronics.com,Portland,OR
1058,C039,P016,2024-01-04,6,26.0,0.06551318999383607,Quinn Hall,43,M,East Coast,Item P,Office Supplies,S006,13.0,Eco Electronics,Linda Parker,linda@ecoelectronics.com,Portland,OR
1059,C141,P022,2024-01-04,10,54.0,0.05265203719967139,Mia Smith,43,F,Midwest,Gadget V,Home Appliances,S002,27.0,Tech Gear Co.,John Taylor,john@techgear.com,Los Angeles,CA
1060,C103,P018,2024-01-04,5,43.0,0.087462517856033,Tina Allen,23,F,West Coast,Widget R,Electronics,S008,21.5,Auto Electronics Pro,Daniel Evans,daniel@autoelectronics.com,Detroit,MI
1061,C037,P006,2024-01-04,2,25.0,0.04783740176417736,Dan White,21,F,Midwest,Item F,Office Supplies,S006,12.5,Eco Electronics,Linda Parker,linda@ecoelectronics.com,Portland,OR
1062,C034,P008,2024-01-04,8,40.0,0.07548327853775803,Alice King,23,F,East Coast,Widget H,Electronics,S008,20.0,Auto Electronics Pro,Daniel Evans,daniel@autoelectronics.com,Detroit,MI
1063,C147,P050,2024-01-04,7,17.5,0.02895222396551246,Karen Hall,66,F,West Coast,Accessory AX,Accessories,S010,8.75,Sports Tech Gear,Michael Harris,michael@sportstechgear.com,Denver,CO
1064,C143,P027,2024-01-04,2,85.0,0.03264983999025472,Yara Hall,19,F,Midwest,Appliance AA,Home Appliances,S007,42.5,HealthTech Supplies,Peter Clark,peter@healthtech.com,Miami,FL
1065,C041,P034,2024-01-04,10,9.5,0.05855841729257112,Carol Jones,40,F,West Coast,Accessory AH,Accessories,S004,4.75,Smart Home Essentials,Sarah Davis,sarah@smarthomeessentials.com,Dallas,TX
1066,C061,P001,2024-01-04,10,30.0,0.015832056473235444,Paul Young,62,M,Midwest,Widget A,Electronics,S001,15.0,Gadget World,Emily Rose,emily@gadgetworld.com,New York,NY
1067,C020,P015,2024-01-04,6,70.0,0.06566846582192684,Zoe Adams,19,F,Midwest,Device O,Electronics,S005,35.0,Office Tech Depot,Kevin Lee,kevin@officetechdepot.com,Chicago,IL
1068,C032,P049,2024-01-04,3,39.5,0.07550901209470985,Bob Allen,34,F,North,Tool AW,Hardware,S009,19.75,Gourmet Gadgets,Alice Brown,alice@gourmetgadgets.com,Seattle,WA
1069,C035,P006,2024-01-04,10,25.0,0.007857882077093105,Jack Hill,41,M,East Coast,Item F,Office Supplies,S006,12.5,Eco Electronics,Linda Parker,linda@ecoelectronics.com,Portland,OR
1070,C121,P012,2024-01-04,7,44.0,0.04397563227792498,Leo Carter,65,M,Midwest,Gadget L,Home Appliances,S002,22.0,Tech Gear Co.,John Taylor,john@techgear.com,Los Angeles,CA
1071,C005,P020,2024-01-04,7,17.0,0.03516093363536086,Quinn Adams,69,M,West Coast,Accessory T,Accessories,S010,8.5,Sports Tech Gear,Michael Harris,michael@sportstechgear.com,Denver,CO
1072,C073,P021,2024-01-04,10,34.0,0.015064478470866983,Mia Allen,36,M,East Coast,Widget U,Electronics,S001,17.0,Gadget World,Emily Rose,emily@gadgetworld.com,New York,NY
1073,C123,P006,2024-01-04,10,25.0,0.00031356459110123416,Rachel Young,22,F,West Coast,Item F,Office Supplies,S006,12.5,Eco Electronics,Linda Parker,linda@ecoelectronics.com,Portland,OR
1074,C066,P015,2024-01-04,1,70.0,0.07901819594823072,Sam Brown,32,M,South,Device O,Electronics,S005,35.0,Office Tech Depot,Kevin Lee,kevin@officetechdepot.com,Chicago,IL
1075,C129,P042,2024-01-04,9,53.0,0.0446355673146677,Xander Jones,20,F,North,Gadget AP,Home Appliances,S002,26.5,Tech Gear Co.,John Taylor,john@techgear.com,Los Angeles,CA
1076,C024,P041,2024-01-05,6,33.5,0.04382689231818038,Nina Baker,54,F,East Coast,Widget AO,Electronics,S001,16.75,Gadget World,Emily Rose,emily@gadgetworld.com,New York,NY
